normalized_id,product_id,company,product_name,canonical_item,normalized_value_numeric,normalized_value_text,normalized_unit,original_value,original_unit,value_type,value_status,confidence,source_table,source_column,source_row_id,unit_system,source_rank,notes
1,avant:avant_220,Avant,Avant 220,aux_hydraulic_flow,30.0,,L/min,30 L/min / 18.5 MPa,L/min,numeric,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,13,unspecified,1,
356,avant:avant_220,Avant,Avant 220,aux_hydraulic_pressure,18.5,,MPa,185 bar / 18.5 MPa,MPa,numeric,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,14,unspecified,1,
125,avant:avant_220,Avant,Avant 220,drive_hydraulic_system,,HST,,HST,,text,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,24,unspecified,1,
124,avant:avant_220,Avant,Avant 220,engine_model,,Kohler CV640 Stage V,,Kohler CV640 Stage V,,text,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,8,unspecified,1,
1378,avant:avant_220,Avant,Avant 220,engine_power,14.9,,kW,14.9 kW (20 hp),,numeric,present,0.903,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,9,unspecified,1,「14.9 kW (20 hp)」形式から公式 kW を採用（hp 換算の 馬力/出力 より優先）; テキストから数値抽出: 14.9 kW
816,avant:avant_220,Avant,Avant 220,fuel_type,,Petrol,,Petrol,,text,present,0.9,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,10,unspecified,1,Avant。電動モデルはバッテリー情報が入ることに注意
577,avant:avant_220,Avant,Avant 220,lift_capacity,350.0,,kg,350 kg,kg,numeric,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,11,unspecified,1,
983,avant:avant_220,Avant,Avant 220,lift_height,1400.0,,mm,1400 mm,mm,numeric,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,12,unspecified,1,
466,avant:avant_220,Avant,Avant 220,market_segment,,SAL,,SAL,,text,present,0.9,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,4,unspecified,1,調査用分類
984,avant:avant_220,Avant,Avant 220,max_travel_speed,,0-10 km/h,,0-10 km/h,km/h,numeric,present,1.0,avant_型式_仕様一覧_仕様一覧,仕様値/数値/単位,16,unspecified,1,[numeric_parse_failed] 数値化できず（複合値・レンジ等）
