product_id,canonical_item,n_rows,n_distinct_values,min_value,max_value,sources
case:sl12_tr,lift_height,3,3,2740.0,2820.0,case_sl12tr_仕様項目一覧_寸法 | case_sl12tr_仕様項目一覧_仕様 | case_sal_catalog_specs_with_features_revised_Case_SALカタログ
case:sl27,tipping_load_straight,3,3,1452.0,2905.0,case_sl27_仕様項目一覧_仕様 | case_sal_catalog_specs_with_features_revised_Case_SALカタログ
case:sl27_tr,overall_width,3,3,1360.0,1523.0,case_sl27tr_仕様項目一覧_仕様 | case_sl27tr_仕様項目一覧_寸法 | case_sal_catalog_specs_with_features_revised_Case_SALカタログ
case:sl27_tr,tipping_load_straight,3,3,1159.0,2320.0,case_sl27tr_仕様項目一覧_仕様 | case_sal_catalog_specs_with_features_revised_Case_SALカタログ
case:sl50_tr,tipping_load_straight,3,3,1725.0,3450.0,case_sal_catalog_specs_with_features_revised_Case_SALカタログ | case_sl50tr_仕様項目一覧_仕様
avant:avant_220,engine_power,4,2,14.9,14.914,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_220,max_travel_speed,2,2,,,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_223,engine_power,4,2,18.3,18.6425,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_225,engine_power,4,2,18.6,18.6425,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_423,engine_power,4,2,16.4054,16.4054,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_523,engine_power,4,2,16.0,16.4054,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_523,max_travel_speed,2,2,,,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_528,engine_power,4,2,18.6425,18.6425,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_530,engine_power,4,2,18.6425,18.6425,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_635i,engine_power,4,2,19.0,19.3882,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_640i,engine_power,4,2,19.0,19.3882,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_640i,max_travel_speed,2,2,,,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_645i,engine_power,4,2,32.8108,32.8108,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_650i,engine_power,4,2,32.8108,32.8108,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_735i,engine_power,4,2,19.0,19.3882,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
avant:avant_735i,max_travel_speed,2,2,,,avant_型式_仕様一覧_仕様一覧 | avant_型式_仕様一覧_型式一覧
avant:avant_755i,engine_power,4,2,41.7592,42.0,avant_型式_仕様一覧_型式一覧 | avant_型式_仕様一覧_仕様一覧
