canonical_item,priority,category,n_products_with_value,n_products_total,missing_rate
bucket_capacity,2,performance,1,69,0.99
motor_power_drive,2,electrical,3,69,0.96
motor_power_implement,2,electrical,3,69,0.96
rated_operating_capacity_articulated,2,performance,3,69,0.96
charge_time,2,electrical,4,69,0.94
rated_operating_capacity,1,performance,5,69,0.93
tipping_load_articulated,2,performance,7,69,0.9
tipping_load_straight,1,performance,9,69,0.87
battery_capacity,2,electrical,9,69,0.87
dump_height,2,dimensions,9,69,0.87
warranty,2,warranty,9,69,0.87
wheelbase,2,dimensions,12,69,0.83
pushing_force,2,performance,16,69,0.77
traction_force,2,performance,16,69,0.77
power_type,2,basic_info,19,69,0.72
telescopic_boom,2,performance,21,69,0.7
emissions_standard,2,compliance,22,69,0.68
engine_displacement,2,engine,22,69,0.68
breakout_force,2,performance,29,69,0.58
overall_length,1,dimensions,31,69,0.55
aux_hydraulic_pressure,1,hydraulics,32,69,0.54
overall_height,1,dimensions,32,69,0.54
overall_width,1,dimensions,32,69,0.54
lift_capacity,1,performance,33,69,0.52
engine_torque,2,engine,34,69,0.51
tipping_load,1,performance,35,69,0.49
engine_model,2,engine,35,69,0.49
standard_tires,2,accessories,35,69,0.49
fuel_type,2,engine,40,69,0.42
turning_radius_inner,2,dimensions,40,69,0.42
turning_radius_outer,2,dimensions,40,69,0.42
transmission,2,drivetrain,42,69,0.39
engine_power,1,engine,63,69,0.09
aux_hydraulic_flow,1,hydraulics,66,69,0.04
max_travel_speed,1,performance,66,69,0.04
lift_height,1,performance,67,69,0.03
operating_weight,1,weight,68,69,0.01
