issue_id,issue_type,severity,company,product_id,source_table,raw_item_name,raw_value,detail,status,created_at
764,low_confidence,review,Case,case:sl50_tr,case_sl50tr_仕様項目一覧_仕様,DRIVETRAIN / Max. Travel speed / Rabbit – High Gear,,confidence 0.65 で max_travel_speed に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
776,low_confidence,review,Case,case:sl50_tr,case_sl50tr_仕様項目一覧_仕様,DRIVETRAIN / Max. Travel speed / Rabbit – High Gear,,confidence 0.65 で max_travel_speed に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
749,low_confidence,review,GIANT,giant:g2200e,giant_g2200e_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
750,low_confidence,review,GIANT,giant:g2200e_x_tra,giant_g2200e_series_仕様一覧_仕様比較,Battery,,confidence 0.6 で battery_capacity に割当（method=unit_based）。要確認,open,2026-07-06 07:16:38.169551
753,low_confidence,review,GIANT,giant:g2700_hdplus,giant_g2700_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
754,low_confidence,review,GIANT,giant:g5000_x_tra,giant_g5000_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
755,low_confidence,review,GIANT,giant:g5000_tele,giant_g5000_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
756,low_confidence,review,GIANT,giant:g5000_x_tra,giant_g5000_tele_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
757,low_confidence,review,GIANT,giant:g2300_x_tra_hd,giant_g2300_hd_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
758,low_confidence,review,GIANT,giant:g2200e,giant_g2200e_series_仕様一覧_仕様比較,Driving mechanism,,confidence 0.6 で motor_power_drive に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
752,low_confidence,review,GIANT,giant:g1500_x_tra,giant_g1500_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
760,low_confidence,review,GIANT,giant:g5000_tele,giant_g5000_tele_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
761,low_confidence,review,GIANT,giant:g1500,giant_g1500_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
762,low_confidence,review,GIANT,giant:g2200e_x_tra,giant_g2200e_series_仕様一覧_仕様比較,Working hydraulics motor,,confidence 0.6 で motor_power_implement に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
763,low_confidence,review,GIANT,giant:g1200_tele,giant_g1200_tele_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
751,low_confidence,review,GIANT,giant:g2500_hd,giant_g2500_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
765,low_confidence,review,GIANT,giant:g2700_x_tra_hd,giant_g2700_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
766,low_confidence,review,GIANT,giant:g1200,giant_g1200_tele_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
767,low_confidence,review,GIANT,giant:g2200e,giant_g2200e_series_仕様一覧_仕様比較,Working hydraulics motor,,confidence 0.6 で motor_power_implement に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
768,low_confidence,review,GIANT,giant:g3500_x_tra,giant_g3500_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
769,low_confidence,review,GIANT,giant:g2300_hd,giant_g2300_hd_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
770,low_confidence,review,GIANT,giant:g5000_z_bar,giant_g5000_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
771,low_confidence,review,GIANT,giant:g2700_hd,giant_g2700_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
772,low_confidence,review,GIANT,giant:g2700_x_tra_hdplus,giant_g2700_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
773,low_confidence,review,GIANT,giant:gs950t,giant_gs_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
774,low_confidence,review,GIANT,giant:g3500_z_bar,giant_g3500_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
775,low_confidence,review,GIANT,giant:g5000_z_bar,giant_g5000_tele_series_仕様一覧_仕様比較,Working hydraulics,,confidence 0.6 で aux_hydraulic_flow に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
782,low_confidence,review,GIANT,giant:g2200e_x_tra,giant_g2200e_series_仕様一覧_仕様比較,Driving mechanism,,confidence 0.6 で motor_power_drive に割当（method=inferred）。要確認,open,2026-07-06 07:16:38.169551
