product_id,company,product_name,model_code,market_segment,power_type,telescopic,sales_status,operating_weight_kg,engine_power_kw,lift_height_mm,lift_capacity_kg,tipping_load_straight_kg,tipping_load_unspec_kg,rated_operating_capacity_kg,max_travel_speed_kmh,aux_hydraulic_flow_lmin,aux_hydraulic_pressure_mpa,overall_length_mm,overall_width_mm,overall_height_mm
avant:avant_220,Avant,Avant 220,Avant 220,SAL,Petrol,なし,旧型,700.0,14.9,1400.0,350.0,,,,,30.0,18.5,1910.0,995.0,1880.0
avant:avant_223,Avant,Avant 223,Avant 223,SAL,Petrol,なし,現行,700.0,18.3,1450.0,320.0,,,,9.0,38.0,18.5,1910.0,980.0,1880.0
avant:avant_225,Avant,Avant 225,Avant 225,SAL,Petrol,なし,現行,720.0,18.6,1450.0,320.0,,,,10.0,42.0,18.5,1910.0,980.0,1880.0
avant:avant_423,Avant,Avant 423,Avant 423,SAL,Diesel,〇,現行,1080.0,,2751.0,550.0,,,,12.0,34.1,18.5,2195.0,1049.0,1981.0
avant:avant_523,Avant,Avant 523,Avant 523,SAL,Diesel,〇,現行,1380.0,16.0,2790.0,800.0,,,,,34.0,18.5,2450.0,1130.0,2035.0
avant:avant_528,Avant,Avant 528,Avant 528,SAL,Diesel,〇,現行,1420.0,,2789.0,950.0,,,,12.0,36.0,20.0,2611.0,1140.0,1981.0
avant:avant_530,Avant,Avant 530,Avant 530,SAL,Diesel,〇,現行,1460.0,,2789.0,950.0,,,,19.0,36.0,20.0,2611.0,1140.0,1986.0
avant:avant_635i,Avant,Avant 635i,Avant 635i,SAL,Diesel,〇,現行,1610.0,19.0,2835.0,1190.0,,,,12.0,65.9,20.0,2611.0,1290.0,2060.0
avant:avant_640i,Avant,Avant 640i,Avant 640i,SAL,Diesel,〇,現行,1580.0,19.0,2835.0,1190.0,,,,,66.0,20.0,2610.0,1290.0,2060.0
avant:avant_645i,Avant,Avant 645i,Avant 645i,SAL,Diesel,〇,現行,1620.0,,2835.0,1190.0,,,,12.0,75.0,20.0,2611.0,1290.0,2060.0
avant:avant_650i,Avant,Avant 650i,Avant 650i,SAL,Diesel,〇,現行,1630.0,,2835.0,1190.0,,,,23.0,75.0,20.0,2611.0,1290.0,2060.0
avant:avant_735i,Avant,Avant 735i,Avant 735i,SAL,Diesel,〇,現行,1810.0,19.0,3080.0,1400.0,,,,,66.0,20.0,3060.0,1295.0,2060.0
avant:avant_755i,Avant,Avant 755i,Avant 755i,SAL,Diesel,〇,現行,1970.0,42.0,3080.0,1400.0,,,,,80.0,22.5,3060.0,1295.0,2060.0
avant:avant_760i,Avant,Avant 760i,Avant 760i,SAL,Diesel,〇,現行,2100.0,42.0,3100.0,1400.0,,,,,80.0,22.5,3060.0,1450.0,2110.0
avant:avant_855i,Avant,Avant 855i,Avant 855i,SAL,Diesel,〇,現行,2490.0,42.0,3500.0,1900.0,,,,,80.0,22.5,3395.0,1490.0,2200.0
avant:avant_860i,Avant,Avant 860i,Avant 860i,SAL,Diesel,〇,現行,2540.0,42.0,3500.0,1900.0,,,,,80.0,22.5,3395.0,1490.0,2200.0
avant:avant_e513,Avant,Avant e513,Avant e513,電動SAL,Electric,〇,現行,1420.0,,2790.0,900.0,,,,10.0,30.0,18.5,2610.0,1130.0,1985.0
avant:avant_e527,Avant,Avant e527,Avant e527,電動SAL,Electric,〇,現行,1500.0,,2790.0,900.0,,,,10.0,30.0,18.5,2610.0,1130.0,1985.0
avant:avant_e727,Avant,Avant e727,Avant e727,電動SAL,Electric,〇,現行,2065.0,,3080.0,1400.0,,,,14.0,40.0,20.0,3060.0,1295.0,2060.0
bobcat:l23,Bobcat,L23,L23,SAL,,,,1719.0,18.5,2169.0,,,,633.0,,43.2,20.0,2367.0,1097.0,1983.0
bobcat:l28,Bobcat,L28,L28,SAL,,,,1903.0,18.5,2650.0,,,,,,43.2,20.0,2367.0,1181.0,1983.0
bobcat:l35,Bobcat,L35,L35,SAL,,,,2727.0,42.5,2915.0,,,,,,68.4,21.0,2817.0,1333.0,2087.0
case:sl12,Case,SL12,SL12,SAL,Diesel,なし,,1100.0,18.5,2170.0,,650.0,,,15.0,28.0,15.0,2211.0,920.0,2060.0
case:sl12_tr,Case,SL12 TR,SL12 TR,テレスコありのSAL,Diesel,あり,,1200.0,18.5,2740.0,,755.0,,,15.0,28.0,15.0,2265.0,920.0,2060.0
case:sl15,Case,SL15,SL15,SAL,Diesel,なし,,1525.0,18.5,2067.0,,1215.0,,,19.0,42.0,17.0,2718.0,1100.0,2230.0
case:sl22ev,Case,SL22EV,SL22EV,電動SAL,Electric,なし,,2200.0,,2450.0,,1405.0,,1022.5,18.0,35.0,17.0,3054.0,1230.0,2300.0
case:sl23,Case,SL23,SL23,SAL,Diesel,なし,,2350.0,18.5,2450.0,,1330.0,,,20.0,32.0,21.0,3145.0,1230.0,2300.0
