table_name,sheet_name,row_count,scope_status
avant_型式_仕様一覧_旧型モデル,旧型モデル,1,未判断
avant_型式_仕様一覧_油圧システム,油圧システム,19,scope_excluded として記録済み
case_sl12_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl12_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl12_仕様項目一覧_装備,装備,44,scope_excluded として記録済み
case_sl12tr_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl12tr_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl12tr_仕様項目一覧_装備,装備,44,scope_excluded として記録済み
case_sl15_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl15_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl15_仕様項目一覧_装備,装備,47,scope_excluded として記録済み
case_sl22ev_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl22ev_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl22ev_仕様項目一覧_装備,装備,42,scope_excluded として記録済み
case_sl23_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl23_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl23_仕様項目一覧_装備,装備,49,scope_excluded として記録済み
case_sl27_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl27_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl27_仕様項目一覧_装備,装備,51,scope_excluded として記録済み
case_sl27tr_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl27tr_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl27tr_仕様項目一覧_装備,装備,50,scope_excluded として記録済み
case_sl35tr_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl35tr_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl35tr_仕様項目一覧_装備,装備,51,scope_excluded として記録済み
case_sl50tr_仕様項目一覧_概要,概要,10,scope_excluded として記録済み
case_sl50tr_仕様項目一覧_注記,注記,16,scope_excluded として記録済み
case_sl50tr_仕様項目一覧_装備,装備,50,scope_excluded として記録済み
