company,raw_item_name,n_products,sample_table,sample_value
Bobcat,K - Reach at Maximum Height,6,bobcat_sal_仕様値_Bobcat_SAL仕様,427
Bobcat,Travel Speed – Low Range,6,bobcat_sal_仕様値_Bobcat_SAL仕様,13.2
Bobcat,Weight With Add-On Counterweight,6,bobcat_sal_仕様値_Bobcat_SAL仕様,1932
Bobcat,Tractor: 23 x 8.50 - 12,5,bobcat_sal_仕様値_Bobcat_SAL仕様,1091
Bobcat,Turf: 23 x 10.50 - 12,5,bobcat_sal_仕様値_Bobcat_SAL仕様,1180
Bobcat,Turf: 23 x 8.50 - 12,5,bobcat_sal_仕様値_Bobcat_SAL仕様,1097*
Bobcat,Turf: 26 x 12.00 - 12,5,bobcat_sal_仕様値_Bobcat_SAL仕様,–
Bobcat,Tractor: 23 x 5.70 - 12,4,bobcat_sal_仕様値_Bobcat_SAL仕様,990
Bobcat,Tractor: 26 x 12.00 - 12,4,bobcat_sal_仕様値_Bobcat_SAL仕様,–
Bobcat,Tractor: 29 x 12.50 - 15,4,bobcat_sal_仕様値_Bobcat_SAL仕様,–
Bobcat,Turf: 29 x 12.50 - 15,4,bobcat_sal_仕様値_Bobcat_SAL仕様,–
Bobcat,Turf: 31 x 15.50 - 15,4,bobcat_sal_仕様値_Bobcat_SAL仕様,–
Bobcat,Aspiration,3,bobcat_sal_仕様値_Bobcat_SAL仕様,Naturally Aspirated
Bobcat,Type,3,bobcat_sal_仕様値_Bobcat_SAL仕様,Diesel
Case,HYDRAULICS / Auxiliary 2 – optional / Max. Flow Rate,18,case_sl50tr_仕様項目一覧_仕様,42
Case,HYDRAULICS / Auxiliary 2 – optional / Pressure,18,case_sl22ev_仕様項目一覧_仕様,170
Case,Height front frame,18,case_sl27_仕様項目一覧_寸法,1380
Case,Height with bucket,18,case_sl15_仕様項目一覧_寸法,2976
Case,Maximum radius external,18,case_sl27tr_仕様項目一覧_寸法,2225
Case,Outer size of tires,18,case_sl12tr_仕様項目一覧_寸法,570
Case,HYDRAULICS / Driving Hydraulics / Flow Rate,16,case_sl15_仕様項目一覧_仕様,84
Case,HYDRAULICS / Driving Hydraulics / Operating Pressure,16,case_sl15_仕様項目一覧_仕様,350
